topic_id,nct_id,explanation_length_chars,explanation_text,fk_grade,bertscore_f1,pass_fk,pass_bertscore,combined_pass
26,NCT01190280,647,"**TRIAL NAME:** Study on When Gallbladder Surgery is Needed for Gallstones

**MATCH SCORE:** 10.0/10

**WHY YOU MAY QUALIFY:**
- You have pain in your upper right belly. The pain lasts more than 30 minutes.
- A scan showed you have gallstones in your gallbladder.
- You have bad belly pain. The pain has lasted more than 8-12 hours.
- Your doctor found it hurts when they press on your upper right belly.
- Tests show your gallbladder is swollen. You may have had a fever.

**THINGS TO CLARIFY WITH YOUR DOCTOR:**
- You seem to meet all the study needs. No other information is needed.

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT01190280",4.73088235294118,0.8145,True,False,False
26,NCT03074084,339,"**TRIAL NAME:** Study of Adults with Bad Stomach Pain in Emergency Rooms

**MATCH SCORE:** 10.0/10

**WHY YOU MAY QUALIFY:**
- You are an adult with stomach pain

**THINGS TO TALK ABOUT WITH YOUR DOCTOR:**
- (No other information needed - you seem to meet the main requirement)

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT03074084",12.906914893617024,0.8089,False,False,False
26,NCT01699906,354,"**TRIAL NAME:** Weight Loss Diet Study for Women with Obesity

**MATCH SCORE:** 6.7/10

**WHY YOU MAY QUALIFY:**
- You are between 40 and 70 years old
- You went through menopause and your periods stopped on their own

**THINGS TO ASK YOUR DOCTOR:**
- What is my BMI? Is it between 35 and 50?

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT01699906",7.156481481481482,0.7784,True,False,False
26,NCT02852408,354,"**TRIAL NAME:** Study of Pain After Gallbladder Removal Surgery

**MATCH SCORE:** 5.0/10

**WHY YOU MAY QUALIFY:**
- You likely have a gallbladder problem that is not cancer. It needs treatment.

**THINGS TO ASK YOUR DOCTOR:**
- Am I healthy enough for surgery? What do my medical tests show?

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT02852408",7.582755102040817,0.8024,True,False,False
26,NCT01706068,547,"**TRIAL NAME:** Heart Changes in People with Gallbladder Problems

**MATCH SCORE:** 3.3/10

*Note: This low score means this trial may not be right for you.*

**WHY YOU MAY QUALIFY:**
- You are between 18 and 75 years old

**THINGS TO ASK YOUR DOCTOR:**
- Do I have serious gallbladder problems? (Like acute cholecystitis, biliary colic, or acute cholangitis? These are problems that make people go to the emergency room)
- Can I join this study? Am I willing to sign the consent form?

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT01706068",6.94753872633391,0.7936,True,False,False
27,NCT03882307,814,"**TRIAL NAME:** Study of Blood Protein Levels in Hepatitis C Patients

**MATCH SCORE:** 10.0/10

**WHY YOU MAY QUALIFY:**
- You are between 18 and 70 years old
- You have hepatitis C virus in your blood
- Your weight and height don't matter for this study
- It doesn't matter if you had hepatitis C treatment before
- Any level of liver scarring is okay

**THINGS TO ASK YOUR DOCTOR:**
- Is my bilirubin level above 2 mg/dl? (This shows how well my liver cleans waste)
- Is my albumin level below 2.8 g/dl? (This shows a protein my liver makes)
- Is my INR 1.7 or higher? (This shows how fast my blood clots)
- Is my platelet count below 50,000? (Platelets help your blood clot)
- Is my creatinine above 2.5 mg/dl? (This shows how well my kidneys work)

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT03882307",7.938022388059704,0.8227,True,False,False
27,NCT04244383,305,"**TRIAL NAME:** Study of How Your Body Fights Hepatitis C

**MATCH SCORE:** 5.0/10

**WHY YOU MAY QUALIFY:**
- You have long-term hepatitis C

**THINGS TO TALK ABOUT WITH YOUR DOCTOR:**
- (No extra information needed from your medical records)

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT04244383",13.450000000000003,0.7901,False,False,False
27,NCT03226717,582,"**TRIAL NAME:** Study of Hepatitis C Treatments and Joint Pain

**MATCH SCORE:** 5.0/10

**WHY YOU MAY QUALIFY:**
- We did not find clear matches with your info

**THINGS TO ASK YOUR DOCTOR:**
- Do I have hepatitis C? Was this shown by a PCR blood test?
- Do I have joint pain or arthritis because of my hepatitis C?
- Am I taking hepatitis C drugs now? Or will I start taking them soon?

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT03226717

*Note: This trial may not be a good fit based on your match score. Your doctor can help you decide if this study is right for you.*",5.145333333333333,0.7685,True,False,False
27,NCT03612973,532,"**TRIAL NAME:** Study of Liver Changes in Hepatitis C Patients Getting Treatment

**MATCH SCORE:** 2.5/10

*Note: This trial may not be the best fit for you based on what we know.*

**WHY YOU MAY QUALIFY:**
- You are over 18 years old
- You have had hepatitis C for 6 months or longer
- You have never had liver cancer
- Your liver disease is only caused by hepatitis C

**THINGS TO ASK YOUR DOCTOR:**
- Have I been tested for hepatitis B and HIV? What were the results?

**LEARN MORE:**
https://clinicaltrials.gov/study/NCT03612973",8.828183908045975,0.7843,False,False,False
27,NCT02393365,400,"TRIAL NAME: Study of Hepatitis C Testing in Belgium

MATCH SCORE: 0.0/10

WHY YOU MAY QUALIFY:
- No criteria match your situation

THINGS TO ASK YOUR DOCTOR:
- Am I having same-day surgery on my stomach or digestive system?

LEARN MORE:
https://clinicaltrials.gov/study/NCT02393365

**Note: This match score is very low. This trial may not be right for you. Talk to your doctor about other options.**",7.852903225806454,0.772,True,False,False
